SymbolID,QuoteDT,Open,Volume
6989,20180919,14.55,159538
6989,20180920,14.64,151405
6999,20180817,15.17,1633156
6999,20180820,15.4,3606903
6999,20180821,16,5170595
6999,20180822,16.54,6602977
6999,20180823,16.98,3583502
6999,20180824,16.76,4525550
6999,20180827,16.47,14651114
6999,20180828,14.71,6817010
6999,20180829,14.14,4099572
6999,20180830,13.99,3933447
6999,20180831,13.61,3723983
6999,20180904,13.17,5935032
6999,20180905,13.97,17467728
6999,20180906,16.15,6777164
6999,20180907,15.25,6795584
6999,20180910,16.16,2727699
6999,20180911,16,2790633
6999,20180912,16.17,3395204
6999,20180913,16.71,3689077
6999,20180914,16.97,3005541
6999,20180917,16.71,2231985
6999,20180918,16.42,1786824
6999,20180919,16.5,1798243
6999,20180920,16.6,1604040
7544,20180817,9.52,48260
7544,20180820,9.63,36080
7544,20180821,9.855,75000
7544,20180822,9.9,67634
7544,20180823,9.75,52086
7544,20180824,9.79,121331
7544,20180827,9.857,59518
7544,20180828,9.92,63998
7544,20180829,9.885,33462
7544,20180830,9.91,25868
7544,20180831,9.7,322334
7544,20180904,9.38,45117
7544,20180905,9.31,89894
7544,20180906,9.2875,35350
7544,20180907,9.16,47942
7544,20180910,9.205,82403
7544,20180911,9.083,140411
7544,20180912,9.11,57398
7544,20180913,9.33,52312
7544,20180914,9.3,63002
7544,20180917,9.264,67532
7544,20180918,9.22,119194
7544,20180919,9.24,66445
7544,20180920,9.545,44588
7581,20180817,26.31,1081222
7581,20180820,26.5,2057429
7581,20180821,28.02,1723977
7581,20180822,28.44,979758
7581,20180823,28.66,1636303
7581,20180824,28.14,1482197
7581,20180827,26.81,1921624
7581,20180828,25.7,2933486
7581,20180829,24.28,1733989
7581,20180830,23.77,1476679
7581,20180831,22.91,1139112
7581,20180904,22.9,1147482
7581,20180905,23.49,1015567
7581,20180906,22.52,846463
7581,20180907,22.93,1154351
7581,20180910,23.78,1085698
7581,20180911,25.24,1583278
7581,20180912,23.38,1377605
7581,20180913,22.2,1854605
7581,20180914,20.16,2297475
7581,20180917,18.75,2742000
7581,20180918,19.23,1938758
7581,20180919,18.01,2500178
7581,20180920,19.37,1775791
7688,20180817,50.8,402056
7688,20180820,53.4,395114
7688,20180821,53.8,402093
7688,20180822,54.45,488177
7688,20180823,56.8,502790
7688,20180824,56.05,228703
7688,20180827,56.05,811133
7688,20180828,51.2,437384
